"year4","county","expenditure","total_expenditures","inflation_adjusted_exp","gdp","ia_gdp","pct_gdp","year"
"1972","Alameda","Health",15259000,198288045.924933,133142600000,1730164885206.43,0.0114606444518884,1972
"1977","Alameda","Health",38589000,328146639,229592000000,1952365781473.68,0.0168076413812328,1977
"1982","Alameda","Health",51273000,268674400.118919,393787700000,2063477348150.27,0.0130204676276075,1982
"1987","Alameda","Health",66946000,249417331.452729,615359500000,2292613813731.74,0.0108791690060851,1987
"1992","Alameda","Health",135758000,346148621.283535,807358400000,2058560063065.75,0.0168150848495538,1992
"1997","Alameda","Health",234891000,485308235.025575,1070523600000,2211808536168.8,0.0219416928314331,1997
"2002","Alameda","Health",321703000,545979327.804622,1436430900000,2437843530274.16,0.0223959955191719,2002
"1972","Alameda","Hospitals",33631000,437028984.369973,133142600000,1730164885206.43,0.0252593835481656,1972
"1977","Alameda","Hospitals",61347000,521672286.473684,229592000000,1952365781473.68,0.0267200076657723,1977
"1982","Alameda","Hospitals",133158000,697757996.821622,393787700000,2063477348150.27,0.0338146671417111,1982
"1987","Alameda","Hospitals",197307000,735096725.972329,615359500000,2292613813731.74,0.0320636960995971,1987
"1992","Alameda","Hospitals",367164000,936175491.572856,807358400000,2058560063065.75,0.0454772007078888,1992
"1997","Alameda","Hospitals",381453000,788119945.741688,1070523600000,2211808536168.8,0.0356323765305127,1997
"2002","Alameda","Hospitals",673927000,1143757473.35084,1436430900000,2437843530274.16,0.046916771283603,2002
"1972","Alameda","Housing",4250000,25531214.1148325,133142600000,799833465507.177,0.00319206625077173,1972
"1977","Alameda","Housing",16132000,66845843.630363,229592000000,951355748250.825,0.00702637722568731,1977
"1982","Alameda","Housing",45791000,119154825.253886,393787700000,1024692725221.76,0.0116283469493841,1982
"1987","Alameda","Housing",74292000,164218672.922535,615359500000,1360220756747.36,0.012072942726975,1987
"1992","Alameda","Housing",164724000,294820737.476835,807358400000,1444998900561.65,0.0204028347261885,1992
"1997","Alameda","Housing",213100000,333401256.697819,1070523600000,1674865854362.62,0.0199061468612182,1997
"2002","Alameda","Housing",286124000,399375982.590328,1436430900000,2004990850507.5,0.0199190925230027,2002
"1972","Alameda","Libraries",6967000,41853169.1148325,133142600000,799833465507.177,0.0052327354280298,1972
"1977","Alameda","Libraries",10488000,43458914.4554455,229592000000,951355748250.825,0.00456810341823757,1977
"1982","Alameda","Libraries",15051000,39164885.5647668,393787700000,1024692725221.76,0.00382211023858795,1982
"1987","Alameda","Libraries",23973000,52991092.5264084,615359500000,1360220756747.36,0.00389577149617419,1987
"1992","Alameda","Libraries",38555000,69005205.8802566,807358400000,1444998900561.65,0.00477545040715499,1992
"1997","Alameda","Libraries",44652000,69859375.4766355,1070523600000,1674865854362.62,0.00417104302978468,1997
"2002","Alameda","Libraries",63732000,88958039.5997777,1436430900000,2004990850507.5,0.00443683020185656,2002
"1972","Alameda","Natural Resources",4434000,26636565.5023923,133142600000,799833465507.177,0.00333026394256985,1972
"1977","Alameda","Natural Resources",11908000,49342939.8679868,229592000000,951355748250.825,0.00518659186731245,1977
"1982","Alameda","Natural Resources",29522000,76820526.984456,393787700000,1024692725221.76,0.00749693299206654,1982
"1987","Alameda","Natural Resources",40292000,89063408.8380282,615359500000,1360220756747.36,0.0065477172287094,1987
"1992","Alameda","Natural Resources",41432000,74154420.6985032,807358400000,1444998900561.65,0.00513179772452977,1992
"1997","Alameda","Natural Resources",78943000,123508659.819315,1070523600000,1674865854362.62,0.00737424191302275,1997
"2002","Alameda","Natural Resources",80622000,112533343.824347,1436430900000,2004990850507.5,0.00561266121468147,2002
"1972","Alameda","Parks",21416000,128653289.760766,133142600000,799833465507.177,0.0160850096062417,1972
"1977","Alameda","Parks",36406000,150854809.273927,229592000000,951355748250.825,0.0158568242795916,1977
"1982","Alameda","Parks",50317000,130932133.875648,393787700000,1024692725221.76,0.0127776972211169,1982
"1987","Alameda","Parks",86856000,191990753.450704,615359500000,1360220756747.36,0.0141146760552165,1987
"1992","Alameda","Parks",158006000,282796953.970064,807358400000,1444998900561.65,0.0195707383486689,1992
"1997","Alameda","Parks",136300000,213245383.800623,1070523600000,1674865854362.62,0.0127320873636041,1997
"2002","Alameda","Parks",223164000,311495511.662034,1436430900000,2004990850507.5,0.0155360066397903,2002
"1972","Alameda","Protective Inspection",0,0,133142600000,799833465507.177,0,1972
"1977","Alameda","Protective Inspection",5090000,21091330.5280528,229592000000,951355748250.825,0.00221697620126137,1977
"1982","Alameda","Protective Inspection",9438000,24559045.2435233,393787700000,1024692725221.76,0.0023967229042451,1982
"1987","Alameda","Protective Inspection",28489000,62973479.9559859,615359500000,1360220756747.36,0.00462965144764971,1987
"1992","Alameda","Protective Inspection",40159000,71876022.9009266,807358400000,1444998900561.65,0.00497412301649428,1992
"1997","Alameda","Protective Inspection",75046000,117411687.987539,1070523600000,1674865854362.62,0.00701021444085866,1997
"2002","Alameda","Protective Inspection",74210000,103583382.267927,1436430900000,2004990850507.5,0.00516627705516499,2002
"1972","Alameda","Transit",23331000,140157354.473684,133142600000,799833465507.177,0.0175233171051189,1972
"1977","Alameda","Transit",119884000,496760917.293729,229592000000,951355748250.825,0.0522161050907697,1977
"1982","Alameda","Transit",215169000,559900954.227979,393787700000,1024692725221.76,0.0546408635922351,1982
"1987","Alameda","Transit",292926000,647497967.271127,615359500000,1360220756747.36,0.0476024177736754,1987
"1992","Alameda","Transit",373142000,667844391.974341,807358400000,1444998900561.65,0.0462176401459377,1992
"1997","Alameda","Transit",614940000,962091829.158878,1070523600000,1674865854362.62,0.0574429185867551,1997
"2002","Alameda","Transit",766219000,1069499468.7771,1436430900000,2004990850507.5,0.0533418628073233,2002
"1972","Alameda","Water Transportation",2516000,15114478.7559809,133142600000,799833465507.177,0.00188970322045686,1972
"1977","Alameda","Water Transportation",4656000,19292973.4653465,229592000000,951355748250.825,0.00202794522457228,1977
"1982","Alameda","Water Transportation",10191000,26518460.4870466,393787700000,1024692725221.76,0.00258794269094743,1982
"1987","Alameda","Water Transportation",17851000,39458724.0933099,615359500000,1360220756747.36,0.00290090589322177,1987
"1992","Alameda","Water Transportation",25884000,46326825.2886671,807358400000,1444998900561.65,0.00320601110981195,1992
"1997","Alameda","Water Transportation",29384000,45972137.6199377,1070523600000,1674865854362.62,0.00274482505570171,1997
"2002","Alameda","Water Transportation",31776000,44353396.5091718,1436430900000,2004990850507.5,0.00221214957155266,2002
